CONCURSO,ID,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA,PRIMOS,REPETIDOS,MEDIA
3241,7942783,3,9,25,30,38,40,2,35900000,2018-12-26,1,1,24.2
3240,19121502,8,13,14,38,43,56,9,31500000,2018-12-23,2,1,28.7
3239,26729126,14,19,21,24,31,49,50,30600000,2018-12-19,2,0,26.3
3238,15219752,6,11,12,41,50,52,47,30500000,2018-12-16,2,0,28.7
3237,11090424,4,13,21,25,47,53,16,30400000,2018-12-12,3,0,27.2
3236,28344533,16,22,35,36,39,50,6,30300000,2018-12-09,0,1,33.0
3235,18940891,8,11,25,30,36,37,14,30200000,2018-12-05,2,0,24.5
3234,21380915,9,21,27,34,49,52,4,30100000,2018-12-02,0,1,32.0
3233,3865259,2,4,10,12,21,28,29,30000000,2018-11-28,1,0,12.8
3232,7964500,3,9,32,33,40,56,8,30400000,2018-11-25,1,0,28.8
3231,15192801,6,10,31,35,36,45,41,30300000,2018-11-21,1,1,27.2
3230,31015047,22,28,33,35,50,51,13,30200000,2018-11-18,0,0,36.5
3229,5723789,2,14,19,39,43,45,52,30100000,2018-11-14,3,0,27.0
3228,22402684,10,16,23,52,54,56,36,30000000,2018-11-11,1,0,35.2
3227,1436285,1,7,13,14,19,20,49,168300000,2018-11-07,3,1,12.3
3226,28174938,16,19,29,34,40,45,28,163500000,2018-11-04,2,0,30.5
3225,1384799,1,7,9,18,32,55,12,160500000,2018-10-31,1,2,20.3
3224,303799,1,2,32,33,45,56,42,155700000,2018-10-28,1,1,28.2
3223,31698249,25,33,46,49,51,54,34,151800000,2018-10-24,0,1,43.0
3222,7583781,3,7,29,30,39,51,23,147700000,2018-10-21,3,0,26.5
3221,2903400,1,18,19,20,34,53,15,144000000,2018-10-17,2,0,24.2
3220,22763521,10,21,31,39,40,42,26,139500000,2018-10-14,1,1,30.5
3219,25047080,12,21,24,34,37,55,50,135900000,2018-10-10,1,1,30.5
3218,30847105,22,23,24,29,36,40,20,131600000,2018-10-07,2,0,29.0
3217,15354537,6,11,41,48,50,52,25,127500000,2018-10-03,2,0,34.7
3216,30270018,20,23,31,40,43,54,46,122600000,2018-09-30,3,1,35.2
3215,17391956,7,12,35,40,41,50,34,119000000,2018-09-26,2,1,30.8
3214,28492196,16,27,29,34,50,56,33,115000000,2018-09-23,1,2,35.3
3213,31472878,24,29,34,36,37,46,55,111500000,2018-09-19,2,0,34.3
3212,21026169,9,16,22,43,49,53,51,107800000,2018-09-16,2,1,32.0
3211,27284759,15,16,26,33,41,56,32,104300000,2018-09-12,1,0,31.2
3210,29884177,19,23,28,34,40,52,26,100000000,2018-09-09,2,0,32.7
3209,28777871,17,20,22,25,43,55,7,96700000,2018-09-05,2,2,30.3
3208,23152696,11,12,17,31,40,55,56,92500000,2018-09-02,3,2,27.7
3207,5094025,2,9,31,40,42,50,4,88800000,2018-08-29,2,2,29.0
3206,16824959,7,9,13,31,51,54,27,85700000,2018-08-26,3,0,27.5
3205,13873058,5,17,33,36,38,43,44,82600000,2018-08-22,3,0,28.7
3204,2368925,1,12,27,48,49,56,7,78300000,2018-08-19,0,1,32.2
3203,297284,1,2,29,35,43,47,3,74900000,2018-08-15,4,0,26.2
3202,18696315,8,10,13,22,26,30,49,71700000,2018-08-12,1,0,18.2
3201,8563311,3,14,16,23,40,45,47,68500000,2018-08-08,2,0,23.5
3200,25618009,13,15,37,39,50,52,34,64500000,2018-08-05,2,0,34.3
3199,30117561,19,35,36,38,43,53,55,60000000,2018-08-01,3,2,37.3
3198,31724974,25,39,43,44,45,53,26,56000000,2018-07-29,2,0,41.5
3197,27643745,15,21,38,40,46,50,5,52800000,2018-07-25,0,0,35.0
3196,31446181,24,28,29,44,51,53,39,48700000,2018-07-22,2,1,38.2
3195,1841942,1,9,15,34,44,52,5,45500000,2018-07-18,0,0,25.8
3194,4590499,2,7,12,19,29,40,45,42000000,2018-07-15,4,0,18.2
3193,29582498,18,27,35,41,45,49,47,39000000,2018-07-11,1,1,35.8
3192,19862949,8,21,33,41,48,51,30,35000000,2018-07-08,1,2,33.7
3191,18131582,7,21,26,37,48,52,30,31900000,2018-07-04,2,0,31.8
3190,23513786,11,15,20,36,39,45,27,30700000,2018-07-01,1,0,27.7
3189,30994871,22,27,33,37,43,52,54,30600000,2018-06-27,2,1,35.7
3188,26291730,13,30,31,33,46,50,26,30500000,2018-06-24,2,0,33.8
3187,23592880,11,16,19,22,26,32,1,30400000,2018-06-20,2,1,21.0
3186,11190531,4,14,19,30,44,50,15,30300000,2018-06-17,1,0,26.8
3185,14887981,6,9,11,21,32,56,26,30200000,2018-06-13,1,0,22.5
3184,13506924,5,14,15,47,48,54,12,30100000,2018-06-10,2,0,30.5
3183,20424011,9,11,17,30,34,45,36,30000000,2018-06-06,2,1,24.3
3182,12648065,5,8,16,20,44,45,34,126200000,2018-06-03,1,1,23.0
3181,16753713,7,8,29,37,43,50,42,122700000,2018-05-30,4,1,29.0
3180,18371715,7,28,31,33,36,42,24,119200000,2018-05-27,2,2,29.5
3179,17472463,7,13,22,29,33,51,19,116500000,2018-05-23,3,0,25.8
3178,30504654,20,36,45,46,47,56,9,112100000,2018-05-20,1,0,41.7
3177,4939031,2,9,10,24,38,53,33,108500000,2018-05-16,2,0,22.7
3176,9185312,3,21,42,51,54,56,22,104500000,2018-05-13,1,1,37.8
3175,17262734,7,11,47,53,55,56,40,100900000,2018-05-09,4,2,38.2
3174,17113085,7,10,43,48,51,56,32,96800000,2018-05-06,2,0,35.8
3173,490428,1,3,14,21,37,54,29,93800000,2018-05-02,2,1,21.7
3172,5262833,2,10,34,42,53,54,28,89500000,2018-04-29,2,1,32.5
3171,26483532,14,16,18,20,38,54,2,86200000,2018-04-25,0,1,26.7
3170,16032844,6,18,23,32,52,56,45,82700000,2018-04-22,1,1,31.2
3169,25811288,13,18,21,22,27,54,49,79700000,2018-04-18,1,1,25.8
3168,20804510,9,14,18,33,42,48,38,75900000,2018-04-15,0,1,27.3
3167,1898951,1,9,23,25,26,35,29,72900000,2018-04-11,1,2,19.8
3166,31604711,25,27,34,35,47,48,26,68800000,2018-04-08,1,0,36.0
3165,16779328,7,9,10,19,28,36,34,65900000,2018-04-04,2,2,18.2
3164,28173407,16,19,28,44,45,54,40,63000000,2018-04-01,1,1,34.3
3163,10109526,4,7,16,32,42,55,28,60000000,2018-03-28,1,1,26.0
3162,2892220,1,17,32,46,47,54,18,55900000,2018-03-25,2,1,32.8
3161,14261032,5,25,26,40,44,54,18,52700000,2018-03-21,1,1,32.3
3160,29396717,18,22,25,36,37,50,49,49000000,2018-03-18,1,2,31.3
3159,6122371,2,18,30,33,34,50,48,45700000,2018-03-14,1,1,27.8
3158,22943735,10,26,30,42,45,49,47,41700000,2018-03-11,0,0,33.7
3157,26601437,14,17,23,25,47,51,6,38500000,2018-03-07,3,0,29.5
3156,13745223,5,16,21,28,41,52,42,34800000,2018-03-04,2,0,27.2
3155,6880643,3,4,26,27,32,38,28,31800000,2018-02-28,1,0,21.7
3154,14819149,6,8,23,24,28,31,34,30600000,2018-02-25,2,1,20.0
3153,20573822,9,12,19,24,48,56,27,30600000,2018-02-21,1,2,28.0
3152,30124602,19,36,38,41,48,53,54,30500000,2018-02-18,3,1,39.2
3151,6498753,2,26,51,52,53,56,7,30400000,2018-02-14,2,1,40.0
3150,30816870,21,34,40,44,48,52,16,30300000,2018-02-11,0,1,39.8
3149,11843612,4,23,26,34,49,54,13,30200000,2018-02-07,1,2,31.7
3148,3229119,1,23,32,34,39,52,8,30100000,2018-02-04,1,2,30.2
3147,17692580,7,15,23,34,37,45,43,30000000,2018-01-31,3,0,26.8
3146,10725818,4,10,31,39,51,52,8,39500000,2018-01-28,1,1,31.2
3145,15078715,6,10,13,25,29,45,3,37000000,2018-01-24,2,1,21.3
3144,21076409,9,17,18,25,28,47,6,34000000,2018-01-21,2,1,24.0
3143,23860174,11,19,27,28,32,54,45,31000000,2018-01-17,2,0,28.5
3142,18192373,7,22,31,35,51,55,10,30700000,2018-01-14,2,0,33.5
3141,2642322,1,15,17,25,32,37,29,30600000,2018-01-10,2,1,21.2
3140,22182641,10,14,19,32,34,48,24,30500000,2018-01-07,1,1,26.2
3139,31528728,24,34,35,36,45,54,25,30400000,2018-01-03,0,0,38.0
3138,5136506,2,10,13,16,18,38,4,30300000,2017-12-31,2,2,16.2
3137,11447140,4,16,37,38,44,46,52,30200000,2017-12-27,1,0,30.8
3136,4787434,2,8,12,23,30,55,33,30100000,2017-12-24,2,0,21.7
3135,9589531,4,5,10,19,29,37,22,30000000,2017-12-20,4,1,17.3
3134,30034655,19,28,32,47,52,55,40,31900000,2017-12-17,2,1,38.8
3133,18304481,7,25,33,35,47,49,13,30800000,2017-12-13,2,0,32.7
3132,23681790,11,17,20,21,28,55,45,30700000,2017-12-10,2,1,25.3
3131,31942238,27,32,34,35,48,55,36,30600000,2017-12-06,0,2,38.5
3130,30001215,19,27,28,29,32,50,56,30500000,2017-12-03,2,0,30.8
3129,30563509,21,22,38,42,43,47,10,30400000,2017-11-29,2,0,35.5
3128,18211841,7,23,25,27,31,32,5,30300000,2017-11-26,3,1,24.2
3127,25902719,13,19,25,33,40,46,36,30200000,2017-11-22,2,1,29.3
3126,12600571,5,8,12,16,25,51,36,30100000,2017-11-19,1,0,19.5
3125,9818175,4,6,10,17,20,29,7,30000000,2017-11-15,2,0,14.3
3124,20509142,9,12,13,14,15,53,6,174400000,2017-11-12,2,0,19.3
3123,2166428,1,11,17,19,23,31,48,171500000,2017-11-08,5,0,17.0
3122,28268285,16,21,24,36,47,53,42,167500000,2017-11-05,2,1,32.8
3121,6544303,2,29,30,36,39,44,12,164900000,2017-11-01,2,0,30.0
3120,9409283,3,28,38,43,46,54,9,160700000,2017-10-29,2,0,35.3
3119,6048701,2,17,30,33,42,55,39,157500000,2017-10-25,2,0,29.8
3118,24627758,12,15,25,39,43,51,18,154000000,2017-10-22,1,0,30.8
3117,14835818,6,8,26,32,37,42,50,151000000,2017-10-18,1,1,25.2
3116,883306,1,5,6,10,13,44,52,148000000,2017-10-15,2,0,13.2
3115,9191382,3,22,23,42,48,50,20,145000000,2017-10-11,2,0,31.3
3114,19527684,8,16,32,40,46,55,52,141000000,2017-10-08,0,0,32.8
3113,26618530,14,17,26,38,39,50,27,137000000,2017-10-04,1,0,30.7
3112,11433180,4,16,29,36,47,54,1,133000000,2017-10-01,2,1,31.0
3111,8022775,3,10,14,23,47,51,25,130000000,2017-09-27,3,1,24.7
3110,22478752,10,17,22,39,46,49,7,127000000,2017-09-24,1,0,30.5
3109,9611293,4,5,11,40,52,54,43,125000000,2017-09-20,2,2,27.7
3108,29326326,18,20,37,40,54,56,44,121000000,2017-09-17,1,1,37.5
3107,9918486,4,6,19,21,43,54,16,118000000,2017-09-13,2,2,24.5
3106,4484922,2,6,24,34,43,45,26,114500000,2017-09-10,2,0,25.7
3105,31792483,26,29,41,48,49,50,33,111000000,2017-09-06,2,0,40.5
3104,3704596,2,3,19,38,40,47,39,107000000,2017-09-03,4,0,24.8
3103,973745,1,5,11,21,27,46,26,104000000,2017-08-30,2,1,18.5
3102,25225417,12,25,31,35,44,46,48,100000000,2017-08-27,1,1,32.2
3101,10919907,4,12,15,30,40,45,2,97500000,2017-08-23,0,1,24.3
3100,17332759,7,12,20,21,28,31,42,95000000,2017-08-20,2,1,19.8
3099,30803915,21,33,34,42,48,51,17,91500000,2017-08-16,0,0,38.2
3098,20000024,8,25,27,29,31,43,56,88000000,2017-08-13,3,0,27.2
3097,3767055,2,3,37,40,42,52,16,85500000,2017-08-09,3,2,29.3
3096,4054041,2,5,6,19,42,47,34,82000000,2017-08-06,4,1,20.2
3095,25623926,13,16,17,19,49,50,47,78500000,2017-08-02,3,1,27.3
3094,20763306,9,13,36,47,48,54,14,75000000,2017-07-30,2,0,34.5
3093,26671554,14,18,22,30,37,49,28,72000000,2017-07-26,1,0,28.3
3092,1534247,1,7,24,34,40,46,38,69000000,2017-07-23,1,1,25.3
3091,1011576,1,5,14,22,35,55,40,66500000,2017-07-19,1,0,22.0
3090,28662034,17,18,23,38,42,46,36,63000000,2017-07-16,2,2,30.7
3089,14843650,6,8,28,36,38,42,25,60000000,2017-07-12,0,0,26.3
3088,13097096,5,11,12,26,31,46,56,57000000,2017-07-09,3,1,21.8
3087,4887835,2,8,23,45,46,54,18,53800000,2017-07-05,2,0,29.7
3086,14982660,6,9,20,32,36,38,45,50500000,2017-07-02,0,1,23.5
3085,6065708,2,18,19,20,26,55,33,47900000,2017-06-28,2,1,23.3
3084,11707139,4,20,27,32,51,56,38,44500000,2017-06-25,0,3,31.7
3083,6142133,2,19,20,26,32,56,46,41400000,2017-06-21,2,1,25.8
3082,27626939,15,21,28,53,54,56,30,38000000,2017-06-18,1,2,37.8
3081,27325751,15,17,19,25,55,56,11,35000000,2017-06-14,2,0,31.2
3080,25993269,13,20,41,43,44,52,14,31500000,2017-06-11,3,0,35.5
3079,13216811,5,11,29,30,33,53,32,30800000,2017-06-07,4,2,26.8
3078,11722658,4,20,33,35,43,53,45,30700000,2017-06-04,2,1,31.3
3077,530973,1,3,18,26,35,38,37,30600000,2017-05-31,1,2,20.2
3076,24690988,12,16,20,35,38,56,30,30500000,2017-05-28,0,1,29.5
3075,5513970,2,12,23,42,52,53,19,30400000,2017-05-24,3,0,30.7
3074,3002823,1,19,24,26,49,56,22,30300000,2017-05-21,1,1,29.2
3073,9250994,3,23,28,32,40,49,14,30200000,2017-05-17,2,0,29.2
3072,15203517,6,10,38,42,47,51,1,30100000,2017-05-14,1,1,32.3
3071,6321471,2,22,23,40,45,47,25,30000000,2017-05-10,3,0,29.8
3070,12581960,5,8,10,35,36,49,14,42000000,2017-05-07,1,0,23.8
3069,32439198,37,42,48,50,51,52,46,38500000,2017-05-03,1,1,46.7
3068,6743821,3,4,10,24,48,54,2,35200000,2017-04-30,1,1,23.8
3067,4484237,2,6,24,31,51,52,27,32600000,2017-04-26,2,1,27.7
3066,4958689,2,9,12,13,23,33,5,30900000,2017-04-23,3,1,15.3
3065,25444550,13,14,18,29,49,53,44,30800000,2017-04-19,3,1,29.3
3064,16015779,6,18,20,37,39,51,17,30700000,2017-04-16,1,1,28.5
3063,28581633,16,32,36,37,41,56,5,30600000,2017-04-12,2,2,36.3
3062,22041977,10,13,16,23,36,50,14,30500000,2017-04-09,2,0,24.7
3061,17870488,7,17,24,31,41,46,18,30400000,2017-04-05,4,0,27.7
3060,20008836,8,25,29,40,44,55,46,30300000,2017-04-02,1,2,33.5
3059,22678774,10,20,23,25,26,55,29,30200000,2017-03-29,1,2,26.5
3058,18663479,8,10,11,12,26,39,45,30100000,2017-03-26,1,1,17.7
3057,19378494,8,15,19,29,45,49,17,30000000,2017-03-22,2,1,27.5
3056,9833969,4,6,11,19,27,40,24,110700000,2017-03-19,2,1,17.8
3055,23177295,11,12,20,36,48,56,6,108000000,2017-03-15,1,0,30.5
3054,31917138,27,30,33,34,42,44,50,104000000,2017-03-12,0,0,35.0
3053,1328238,1,6,25,43,51,54,48,101200000,2017-03-08,1,1,30.0
3052,2133025,1,11,13,40,52,55,7,97200000,2017-03-05,2,3,28.7
3051,2107614,1,10,45,48,52,55,28,93800000,2017-03-01,0,1,35.2
3050,29600896,18,28,34,36,40,52,21,90000000,2017-02-26,0,0,34.7
3049,9699284,4,5,20,30,44,55,21,87000000,2017-02-22,1,1,26.3
3048,29926242,19,24,30,37,41,46,33,83000000,2017-02-19,3,2,32.8
3047,3615931,2,3,11,21,41,46,37,80000000,2017-02-15,4,1,20.7
3046,28266499,16,21,24,29,47,52,9,76500000,2017-02-12,2,0,31.5
3045,29604973,18,28,37,40,44,56,38,73000000,2017-02-08,1,1,37.2
3044,1750445,1,8,30,37,42,54,4,69300000,2017-02-05,1,0,28.7
3043,14913615,6,9,13,21,35,39,10,66000000,2017-02-01,1,0,20.5
3042,13995298,5,19,26,42,51,54,8,63000000,2017-01-29,2,0,32.8
3041,24981468,12,20,22,25,46,48,50,60000000,2017-01-25,0,0,28.8
3040,22129872,10,13,33,43,52,56,12,56000000,2017-01-22,2,0,34.5
3039,30748328,21,29,30,36,40,48,56,52500000,2017-01-18,1,2,34.0
3038,1931003,1,9,31,36,48,55,49,49000000,2017-01-15,1,0,30.0
3037,29611615,18,29,30,41,53,54,24,45000000,2017-01-11,3,0,37.5
3036,27311836,15,16,40,42,50,51,1,40300000,2017-01-08,0,0,35.7
3035,7918674,3,9,21,23,24,25,36,38500000,2017-01-04,2,0,17.5
3034,32463771,42,43,45,49,51,56,6,34000000,2017-01-01,1,1,47.7
3033,26761100,14,19,27,33,40,45,54,30800000,2016-12-28,1,1,29.7
3032,22253427,10,15,16,20,33,47,37,30700000,2016-12-25,1,1,23.5
3031,20602117,9,12,23,33,46,54,17,30600000,2016-12-21,1,1,29.5
3030,21366764,9,21,24,28,34,56,11,30500000,2016-12-18,0,1,28.7
3029,20903060,9,15,18,25,42,52,2,30400000,2016-12-14,0,1,26.8
3028,5642874,2,13,25,26,33,35,32,30300000,2016-12-11,2,2,22.3
3027,22921227,10,25,33,34,43,50,47,30200000,2016-12-07,1,1,32.5
3026,5051185,2,9,21,27,40,43,44,30100000,2016-12-04,2,1,23.7
3025,25006244,12,20,27,31,42,50,29,30000000,2016-11-30,1,0,30.3
3024,14552861,6,7,14,22,44,45,38,384000000,2016-11-27,1,1,23.0
3023,32404701,35,38,43,45,49,54,46,379000000,2016-11-23,1,2,44.0
3022,4727786,2,7,35,40,45,55,12,374000000,2016-11-20,2,0,30.7
3021,16385670,6,25,28,34,39,52,7,370000000,2016-11-16,0,1,30.7
3020,4811021,2,8,14,22,48,52,26,365500000,2016-11-13,1,0,24.3
3019,28180015,16,19,31,35,38,45,9,361000000,2016-11-09,2,2,30.7
3018,6139660,2,19,20,21,33,45,30,356000000,2016-11-06,2,0,23.3
3017,18959225,8,11,30,37,49,56,51,352000000,2016-11-02,2,0,31.8
3016,22126269,10,13,31,47,50,55,40,347000000,2016-10-30,3,0,34.3
3015,32042193,28,32,35,37,46,56,6,342000000,2016-10-26,1,1,39.0
3014,5143964,2,10,13,29,35,48,8,337000000,2016-10-23,3,0,22.8
3013,8988306,3,18,28,44,51,53,25,333000000,2016-10-19,2,1,32.8
3012,23594444,11,16,19,25,28,50,6,329000000,2016-10-16,2,2,24.8
3011,10843602,4,11,23,28,29,48,6,325000000,2016-10-12,3,1,23.8
3010,10319008,4,8,18,25,32,38,55,320000000,2016-10-09,0,2,20.8
3009,4211931,2,5,18,22,25,40,1,316500000,2016-10-05,2,0,18.7
3008,19550790,8,17,19,26,33,37,41,312500000,2016-10-02,3,0,23.3
3007,13338339,5,12,25,29,34,48,42,309000000,2016-09-28,2,1,25.5
3006,1024241,1,5,15,26,40,46,14,304000000,2016-09-25,1,1,22.2
3005,11887930,4,24,28,46,50,56,16,300000000,2016-09-21,0,0,34.7
3004,30725934,21,27,44,47,52,54,16,295000000,2016-09-18,1,1,40.8
3003,5026618,2,9,18,21,29,53,7,292000000,2016-09-14,3,0,22.0
3002,17731387,7,15,38,39,42,52,9,287000000,2016-09-11,1,2,32.2
3001,32115509,29,31,38,39,46,54,48,283000000,2016-09-07,2,1,39.5
3000,28582967,16,32,37,39,48,55,17,277000000,2016-09-04,1,2,37.8
2999,13611599,5,15,16,21,47,48,23,273400000,2016-08-31,2,1,25.3
2998,8749993,3,15,32,38,40,53,24,269000000,2016-08-28,2,0,30.2
2997,30894769,22,24,27,28,29,47,51,265000000,2016-08-24,2,1,29.5
2996,31965089,27,34,40,45,52,54,3,259900000,2016-08-21,0,1,42.0
2995,17914121,7,18,19,31,35,54,46,256000000,2016-08-17,3,1,27.3
2994,21804186,10,11,18,33,43,48,40,251000000,2016-08-14,2,1,27.2
2993,30626561,21,24,30,31,43,45,10,247500000,2016-08-10,2,1,32.3
2992,29237519,18,19,25,30,33,35,43,242500000,2016-08-07,1,1,26.7
2991,22597019,10,18,39,44,45,55,40,238000000,2016-08-03,0,1,35.2
2990,17454132,7,13,19,33,44,48,53,234000000,2016-07-31,3,2,27.3
2989,31487064,24,30,33,41,43,44,28,230000000,2016-07-27,2,1,35.8
2988,8376658,3,12,22,33,39,49,40,226000000,2016-07-24,1,1,26.3
2987,11006024,4,12,29,43,46,53,9,222000000,2016-07-20,3,0,31.2
2986,12965442,5,10,14,15,36,56,53,218000000,2016-07-17,1,1,22.7
2985,22387048,10,16,21,26,39,51,56,213000000,2016-07-13,0,1,27.2
2984,5942472,2,16,24,25,30,45,51,209000000,2016-07-10,1,1,23.7
2983,11748070,4,21,24,36,41,47,9,205000000,2016-07-06,2,1,28.8
2982,24085211,11,23,43,47,48,54,49,200500000,2016-07-03,4,0,37.7
2981,22261316,10,15,17,18,35,50,30,196500000,2016-06-29,1,1,24.2
2980,27736235,15,24,25,29,46,54,21,192000000,2016-06-26,1,0,32.2
2979,20863166,9,14,30,32,45,56,12,188000000,2016-06-22,0,1,31.0
2978,5857666,2,15,25,30,39,50,31,183500000,2016-06-19,1,1,26.8
2977,15742862,6,15,17,29,31,56,51,180000000,2016-06-15,3,1,25.7
2976,12645046,5,8,15,43,44,52,56,176000000,2016-06-12,2,0,27.8
2975,5734797,2,14,21,28,38,39,42,172000000,2016-06-08,1,0,23.7
2974,21001571,9,16,19,24,32,53,47,167400000,2016-06-05,2,2,25.5
2973,17434535,7,13,17,24,32,56,12,164000000,2016-06-01,3,1,24.8
2972,19823363,8,21,22,31,33,56,19,160700000,2016-05-29,1,0,28.5
2971,6697464,3,4,7,30,45,55,42,157500000,2016-05-25,2,1,24.0
2970,1925184,1,9,29,32,45,47,17,153000000,2016-05-22,2,0,27.2
2969,25295190,12,28,30,38,39,44,37,149400000,2016-05-18,0,0,31.8
2968,12217408,5,6,14,15,35,48,55,145400000,2016-05-15,1,2,20.5
2967,14560429,6,7,15,17,51,52,40,142000000,2016-05-11,2,1,24.7
2966,11742586,4,21,23,33,52,55,29,137000000,2016-05-08,1,1,31.3
2965,3479555,2,3,4,5,25,40,43,133700000,2016-05-04,3,1,13.2
2964,6273225,2,21,23,31,36,52,34,129800000,2016-05-01,3,1,27.5
2963,31467488,24,29,31,35,46,55,19,125900000,2016-04-27,2,0,36.7
2962,30979229,22,26,41,42,44,54,34,121000000,2016-04-24,1,1,38.2
2961,14387311,5,30,36,37,44,51,29,117500000,2016-04-20,2,0,33.8
2960,6802377,3,4,15,19,22,38,42,113000000,2016-04-17,2,1,16.8
2959,4739622,2,8,9,15,31,36,10,110400000,2016-04-13,2,0,16.8
2958,8309805,3,12,14,29,32,44,53,107000000,2016-04-10,2,0,22.3
2957,770794,1,4,15,20,21,54,49,103000000,2016-04-06,0,1,19.2
2956,32436574,37,40,45,50,51,54,23,98000000,2016-04-03,1,0,46.2
2955,27626835,15,21,28,47,49,55,31,95000000,2016-03-30,1,1,35.8
2954,1291633,1,6,19,31,49,54,55,90000000,2016-03-27,2,1,26.7
2953,31505485,24,31,38,40,52,53,34,86000000,2016-03-23,2,0,39.7
2952,30718986,21,27,34,44,55,56,53,82000000,2016-03-20,0,0,39.5
2951,29029144,17,25,35,39,42,54,36,78500000,2016-03-16,1,1,35.3
2950,23699503,11,17,22,34,36,46,3,74600000,2016-03-13,2,1,27.7
2949,24169802,11,26,32,42,43,56,29,71000000,2016-03-09,2,0,35.0
2948,2259400,1,12,13,16,45,48,5,67000000,2016-03-06,1,2,22.5
2947,170737,1,2,12,17,21,27,48,64000000,2016-03-02,2,0,13.3
2946,12144800,5,6,8,38,50,51,44,59000000,2016-02-28,1,0,26.3
2945,25668744,13,16,23,26,34,37,25,56000000,2016-02-24,3,0,24.8
2944,7088303,3,5,19,20,27,54,1,52000000,2016-02-21,3,0,21.3
2943,22041732,10,13,16,23,26,50,43,48500000,2016-02-17,2,0,23.0
2942,16445908,6,27,31,42,45,52,9,44000000,2016-02-14,1,1,33.8
2941,22875546,10,24,27,38,40,48,54,40000000,2016-02-10,0,2,31.2
2940,29506182,18,24,47,48,50,56,8,35000000,2016-02-07,1,0,40.5
2939,13540440,5,14,19,33,46,49,22,34000000,2016-02-03,2,0,27.7
2938,25808090,13,18,20,29,40,56,23,33500000,2016-01-31,2,0,29.3
2937,32290630,31,45,46,50,51,52,54,33000000,2016-01-27,1,1,45.8
2936,17150728,7,11,14,45,47,54,12,32500000,2016-01-24,3,0,29.7
2935,6835763,3,4,18,31,41,43,9,31500000,2016-01-20,4,1,23.3
2934,27200987,14,35,42,43,49,50,31,31000000,2016-01-17,1,0,38.8
2933,14129863,5,21,37,40,46,56,31,30000000,2016-01-13,2,0,34.2
2932,26572317,14,17,18,39,43,53,1,124000000,2016-01-10,3,2,30.7
2931,25342293,12,30,42,43,49,53,45,119000000,2016-01-06,2,1,38.2
2930,1798686,1,9,12,16,24,47,46,115000000,2016-01-03,1,0,18.2
2929,4460734,2,6,20,30,33,37,49,110000000,2015-12-30,2,1,21.3
2928,7316310,3,6,18,32,46,54,25,107500000,2015-12-27,1,1,26.5
2927,10869661,4,11,29,38,40,46,2,102500000,2015-12-23,2,1,28.0
2926,20802973,9,14,18,28,40,45,50,98000000,2015-12-20,0,0,25.7
2925,9361633,3,26,35,38,50,55,20,93000000,2015-12-16,1,0,34.5
2924,23926623,11,20,29,32,37,40,56,88000000,2015-12-13,3,0,28.2
2923,3493834,2,3,4,21,25,39,32,85000000,2015-12-09,2,1,15.7
2922,2320031,1,12,19,21,40,44,17,80000000,2015-12-06,1,2,22.8
2921,11094344,4,13,21,40,46,47,48,76000000,2015-12-02,2,0,28.5
2920,1561660,1,7,33,35,48,52,44,71500000,2015-11-29,1,1,29.3
2919,21606338,9,27,36,38,41,52,23,68000000,2015-11-25,1,1,33.8
2918,10924033,4,12,16,18,46,52,31,64000000,2015-11-22,0,0,24.7
2917,28927434,17,22,48,49,50,53,37,59500000,2015-11-18,2,0,39.8
2916,7995752,3,10,12,18,33,46,31,55500000,2015-11-15,1,1,20.3
2915,17379295,7,12,29,34,35,39,1,52000000,2015-11-11,2,2,26.0
2914,8328766,3,12,16,25,32,35,22,48000000,2015-11-08,1,2,20.5
2913,7253816,3,6,12,30,48,55,24,44500000,2015-11-04,1,1,25.7
2912,19558634,8,17,20,28,29,55,3,40000000,2015-11-01,2,1,26.2
2911,10360600,4,8,24,37,43,51,5,38000000,2015-10-28,2,1,27.8
2910,10146142,4,7,21,25,48,49,1,37000000,2015-10-25,1,2,25.7
2909,6697461,3,4,7,30,45,52,6,36000000,2015-10-21,2,0,23.5
2908,13453621,5,13,23,33,44,56,53,35000000,2015-10-18,3,0,29.0
2907,2642435,1,15,17,25,37,45,9,34000000,2015-10-14,2,2,23.3
2906,13688082,5,15,28,37,46,49,8,33000000,2015-10-11,2,0,30.0
2905,11989601,4,27,41,45,48,54,51,32000000,2015-10-07,1,0,36.5
2904,8701393,3,15,20,36,40,56,35,31000000,2015-10-04,1,1,28.3
2903,18061328,7,20,23,24,27,42,16,30000000,2015-09-30,2,1,23.8
2902,13765628,5,16,25,27,35,45,42,546000000,2015-09-27,1,1,25.5
2901,4746058,2,8,9,25,46,52,53,541000000,2015-09-23,1,2,23.7
2900,5597119,2,13,18,20,21,52,46,535000000,2015-09-20,2,2,21.0
2899,25853124,13,18,30,33,36,51,37,530500000,2015-09-16,1,2,30.2
2898,22566279,10,18,25,33,38,49,1,524500000,2015-09-13,0,1,28.8
2897,10356703,4,8,24,25,26,37,27,521000000,2015-09-09,1,0,20.7
2896,20258332,9,10,15,41,46,49,43,515000000,2015-09-06,1,1,28.3
2895,28178266,16,19,30,38,40,49,6,509000000,2015-09-02,1,3,32.0
2894,24351004,12,13,16,26,30,49,45,503500000,2015-08-30,1,0,24.3
